model,arm,image_idx,y_true,k_total,phase1_l2,phase1_queries,winning_corruption,best_l2,final_l2,IR_phase3,n_gens,queries_phase3,p1_jpeg,p1_blur,p1_brightness,p1_contrast,p1_inversion,p1_hue_shift,p1_posterize,p1_fractal_random,p1_sharpen,p1_saturation,p1_gamma
robust,E_full_k14_lam28,122,7,14,6.04074380738945,248,blur,5.420450701309894,5.487903586793012,0.10268488879147153,14,1256,6.941650678127733,6.04074380738945,17.947781287043224,7.712957292637905,,,,7.295753755274584,,,
standard,E_sep_k14,123,2,14,1.6293139915250126,359,jpeg,1.5035124659486403,1.5035124659486403,0.07721134552992083,14,1157,1.6293139915250126,3.1020789133104882,25.00685651552209,8.85444903086193,8.854414645840428,,4.311574407686655,4.62174925525188,,,19.257404913143443
standard,E_full_k14,123,2,14,1.6293139915250126,359,jpeg,1.411762782244556,1.411762782244556,0.13352319467706283,15,1168,1.6293139915250126,3.1020789133104882,25.00685651552209,8.85444903086193,8.854414645840428,,4.311574407686655,4.62174925525188,,,19.257404913143443
standard,E_full_k14_lam28,123,2,14,1.6293139915250126,359,jpeg,1.579520204852267,1.5867632228688957,0.03056119749278,11,1151,1.6293139915250126,3.1020789133104882,25.00685651552209,8.85444903086193,8.854414645840428,,4.311574407686655,4.62174925525188,,,19.257404913143443
robust,E_sep_k14,123,2,14,3.651222170549992,247,blur,3.114902164217265,3.1178972514577272,0.1468878039409856,16,1273,,3.651222170549992,21.011055843293526,8.517084687863553,8.516959982819355,,,6.375172817666013,,,
robust,E_full_k14,123,2,14,3.651222170549992,247,blur,3.3162748534990523,3.3162748534990523,0.09173567134658528,17,1279,,3.651222170549992,21.011055843293526,8.517084687863553,8.516959982819355,,,6.375172817666013,,,
robust,E_full_k14_lam28,123,2,14,3.651222170549992,247,blur,3.3822286069100667,3.574686306207381,0.07367219825996135,12,1273,,3.651222170549992,21.011055843293526,8.517084687863553,8.516959982819355,,,6.375172817666013,,,
standard,E_sep_k14,124,6,14,1.2943285817323285,355,blur,1.0487291163412473,1.0580131147978513,0.18975047670072384,16,1155,1.7903139543761246,1.2943285817323285,16.185925758061146,4.397224417332773,,,7.118282345443923,3.4394424021335204,,9.40492534844179,21.513998335023725
standard,E_full_k14,124,6,14,1.2943285817323285,355,blur,1.1406013639305217,1.1672463872252858,0.11876985486641913,17,1167,1.7903139543761246,1.2943285817323285,16.185925758061146,4.397224417332773,,,7.118282345443923,3.4394424021335204,,9.40492534844179,21.513998335023725
standard,E_full_k14_lam28,124,6,14,1.2943285817323285,355,blur,1.1372658496596377,1.1699017872432143,0.12134687767033474,13,1172,1.7903139543761246,1.2943285817323285,16.185925758061146,4.397224417332773,,,7.118282345443923,3.4394424021335204,,9.40492534844179,21.513998335023725
robust,E_sep_k14,124,6,14,2.618426109459216,360,blur,2.3920089265899436,2.3925409422898922,0.08647071691323543,14,1155,3.2467013220825436,2.618426109459216,10.257828082041911,3.1140445510282597,3.1139532400655914,,11.408099392478704,7.399972718747301,,,19.32755191993973
robust,E_full_k14,124,6,14,2.618426109459216,360,blur,2.4746945038918096,2.5197771045230657,0.05489236646708018,14,1159,3.2467013220825436,2.618426109459216,10.257828082041911,3.1140445510282597,3.1139532400655914,,11.408099392478704,7.399972718747301,,,19.32755191993973
robust,E_full_k14_lam28,124,6,14,2.618426109459216,360,blur,2.5935071727420933,2.729941089245118,0.009516761472512602,9,1149,3.2467013220825436,2.618426109459216,10.257828082041911,3.1140445510282597,3.1139532400655914,,11.408099392478704,7.399972718747301,,,19.32755191993973
standard,E_sep_k14,125,5,14,1.7830043074714177,353,blur,1.7507309494859937,1.824447359123364,0.01810054964544236,12,1171,2.7711355350220575,1.7830043074714177,23.089879254276944,12.244477051592169,12.244641799672134,,16.357891535954767,3.8273980434078334,,13.22856442607886,
standard,E_full_k14,125,5,14,1.7830043074714177,353,blur,1.6431059049639838,1.740338664304059,0.07846217865050029,15,1149,2.7711355350220575,1.7830043074714177,23.089879254276944,12.244477051592169,12.244641799672134,,16.357891535954767,3.8273980434078334,,13.22856442607886,
standard,E_full_k14_lam28,125,5,14,1.7830043074714177,353,blur,1.7586724811398036,1.759457357349528,0.013646532557243513,10,1153,2.7711355350220575,1.7830043074714177,23.089879254276944,12.244477051592169,12.244641799672134,,16.357891535954767,3.8273980434078334,,13.22856442607886,
