model,arm,phase1_type,phase3_cfg,image_idx,y_true,phase1_l2_uniform,phase1_l2,phase1_queries,winning_corruption,jpeg_l2,blur_l2,fractal_l2,best_l2,final_l2,IR_phase3,IR_total,n_gens,queries_phase3
standard,C,corruption,lam28_xi1.0_tau3,129,7,1.4836417951012035,0.9614435891288163,128,fractal,1.6021224976602366,2.084471379962122,0.9614435891288163,0.8261162133731249,0.8275961989084021,0.14075435863929814,0.44318351228655356,3,1398
standard,D,corruption,lam14_xi0.75_tau3,129,7,1.4836417951012035,0.9614435891288163,128,fractal,1.6021224976602366,2.084471379962122,0.9614435891288163,0.6977536663489625,0.6977536663489625,0.2742645806383593,0.5297020691565468,23,1399
robust,A,uniform,lam28_xi1.0_tau3,129,7,5.607940374089116,5.607940374089116,27,,,,,5.507942890430007,5.514277186495253,0.017831409927455168,0.017831409927455168,9,1499
robust,B,uniform,lam14_xi0.75_tau3,129,7,5.607940374089116,5.607940374089116,27,,,,,5.319410755094129,5.320738455608319,0.05145019378738534,0.05145019378738534,14,1499
robust,C,corruption,lam28_xi1.0_tau3,129,7,5.607940374089116,2.7606313411511763,92,blur,,2.7606313411511763,5.21220539232116,2.745490076865008,2.745490076865008,0.005484710711084837,0.5104280905784504,15,1430
robust,D,corruption,lam14_xi0.75_tau3,129,7,5.607940374089116,2.7606313411511763,92,blur,,2.7606313411511763,5.21220539232116,2.7298535636102432,2.7300111763674098,0.011148818417782206,0.5132163715179218,23,1426
standard,A,uniform,lam28_xi1.0_tau3,130,5,3.6391780530707836,3.6391780530707836,27,,,,,1.5301378702759931,1.5382212435683158,0.5795375087556257,0.5795375087556257,23,1500
standard,B,uniform,lam14_xi0.75_tau3,130,5,3.6391780530707836,3.6391780530707836,27,,,,,1.9014268034085464,1.9015267555885647,0.47751201626309575,0.47751201626309575,22,1499
standard,C,corruption,lam28_xi1.0_tau3,130,5,3.6391780530707836,1.4478528912442994,83,fractal,,2.614682643450512,1.4478528912442994,1.4478528912442994,1.4555744653838694,0.0,0.6021483779771141,2,1443
standard,D,corruption,lam14_xi0.75_tau3,130,5,3.6391780530707836,1.4478528912442994,83,fractal,,2.614682643450512,1.4478528912442994,1.4477946467334093,1.4497776174522514,4.0228196692025225e-05,0.6021643828304191,3,1443
robust,A,uniform,lam28_xi1.0_tau3,130,5,10.518849163619457,10.518849163619457,27,,,,,9.152107875712913,9.154398586876466,0.129932587362652,0.129932587362652,16,1476
robust,B,uniform,lam14_xi0.75_tau3,130,5,10.518849163619457,10.518849163619457,27,,,,,9.575166321572395,9.581601332153697,0.08971350642719436,0.08971350642719436,19,1481
